audeur,chfgbp,cadjpy,,,audeur,Date,Time,Close,,chfgbp,Date,Time,Close,,cadjpy,Date,Time,Close
0.64101,0.70577,83.115,,,,2016-02-18,09:30:00,0.64101,,,2016-02-18,09:30:00,0.70577,,,2016-02-18,09:30:00,83.115
0.64062,0.70592,83.0085,,,,2016-02-18,09:35:00,0.64062,,,2016-02-18,09:35:00,0.70592,,,2016-02-18,09:35:00,83.0085
0.64118,0.70628,83.0345,,,,2016-02-18,09:40:00,0.64118,,,2016-02-18,09:40:00,0.70628,,,2016-02-18,09:40:00,83.0345
0.64154,0.70602,83.1187,,,,2016-02-18,09:45:00,0.64154,,,2016-02-18,09:45:00,0.70602,,,2016-02-18,09:45:00,83.1187
0.64156,0.70608,83.0394,,,,2016-02-18,09:50:00,0.64156,,,2016-02-18,09:50:00,0.70608,,,2016-02-18,09:50:00,83.0394
0.64164,0.70623,83.0392,,,,2016-02-18,09:55:00,0.64164,,,2016-02-18,09:55:00,0.70623,,,2016-02-18,09:55:00,83.0392
0.64202,0.7065,83.0392,,,,2016-02-18,10:00:00,0.64202,,,2016-02-18,10:00:00,0.7065,,,2016-02-18,10:00:00,83.0392
0.64319,0.70545,83.1494,,,,2016-02-18,10:05:00,0.64319,,,2016-02-18,10:05:00,0.70545,,,2016-02-18,10:05:00,83.1494
0.64332,0.70527,83.1746,,,,2016-02-18,10:10:00,0.64332,,,2016-02-18,10:10:00,0.70527,,,2016-02-18,10:10:00,83.1746
0.64321,0.70522,83.1162,,,,2016-02-18,10:15:00,0.64321,,,2016-02-18,10:15:00,0.70522,,,2016-02-18,10:15:00,83.1162
0.64293,0.70464,83.1497,,,,2016-02-18,10:20:00,0.64293,,,2016-02-18,10:20:00,0.70464,,,2016-02-18,10:20:00,83.1497
0.64293,0.70445,83.1098,,,,2016-02-18,10:25:00,0.64293,,,2016-02-18,10:25:00,0.70445,,,2016-02-18,10:25:00,83.1098
0.64332,0.70459,83.1974,,,,2016-02-18,10:30:00,0.64332,,,2016-02-18,10:30:00,0.70459,,,2016-02-18,10:30:00,83.1974
0.64303,0.7046,83.2093,,,,2016-02-18,10:35:00,0.64303,,,2016-02-18,10:35:00,0.7046,,,2016-02-18,10:35:00,83.2093
0.64391,0.70442,83.2628,,,,2016-02-18,10:40:00,0.64391,,,2016-02-18,10:40:00,0.70442,,,2016-02-18,10:40:00,83.2628
0.64329,0.70476,83.2048,,,,2016-02-18,10:45:00,0.64329,,,2016-02-18,10:45:00,0.70476,,,2016-02-18,10:45:00,83.2048
0.6431,0.70474,83.1323,,,,2016-02-18,10:50:00,0.6431,,,2016-02-18,10:50:00,0.70474,,,2016-02-18,10:50:00,83.1323
0.64389,0.70459,83.1393,,,,2016-02-18,10:55:00,0.64389,,,2016-02-18,10:55:00,0.70459,,,2016-02-18,10:55:00,83.1393
0.64341,0.70487,83.1236,,,,2016-02-18,11:00:00,0.64341,,,2016-02-18,11:00:00,0.70487,,,2016-02-18,11:00:00,83.1236
0.6433,0.70445,83.1751,,,,2016-02-18,11:05:00,0.6433,,,2016-02-18,11:05:00,0.70445,,,2016-02-18,11:05:00,83.1751
0.64304,0.70412,83.1516,,,,2016-02-18,11:10:00,0.64304,,,2016-02-18,11:10:00,0.70412,,,2016-02-18,11:10:00,83.1516
0.64336,0.70424,83.165,,,,2016-02-18,11:15:00,0.64336,,,2016-02-18,11:15:00,0.70424,,,2016-02-18,11:15:00,83.165
0.64341,0.70384,83.2009,,,,2016-02-18,11:20:00,0.64341,,,2016-02-18,11:20:00,0.70384,,,2016-02-18,11:20:00,83.2009
0.64359,0.70344,83.2216,,,,2016-02-18,11:25:00,0.64359,,,2016-02-18,11:25:00,0.70344,,,2016-02-18,11:25:00,83.2216
0.64362,0.70353,83.177,,,,2016-02-18,11:30:00,0.64362,,,2016-02-18,11:30:00,0.70353,,,2016-02-18,11:30:00,83.177
0.64382,0.70352,83.2235,,,,2016-02-18,11:35:00,0.64382,,,2016-02-18,11:35:00,0.70352,,,2016-02-18,11:35:00,83.2235
0.64356,0.70376,83.2094,,,,2016-02-18,11:40:00,0.64356,,,2016-02-18,11:40:00,0.70376,,,2016-02-18,11:40:00,83.2094
